,date,createdDate,name,playerClass,index
120,2014-12-19 02:21:12.616,2014-12-19T02:21:12.616Z,ハンター (Top 50 midrange hunter),Hunter,120
121,2014-12-19 03:31:35.683,2014-12-19T03:31:35.683Z,mech?,Rogue,121
122,2014-12-19 03:38:03.100,2014-12-19T03:38:03.100Z,mine,Rogue,122
123,2014-12-19 05:49:42.045,2014-12-19T05:49:42.045Z,Minion based freeze mage,Mage,123
124,2014-12-19 06:23:36.989,2014-12-19T06:23:36.989Z,Late-Game Lock,Warlock,124
125,2014-12-19 19:03:08.995,2014-12-19T19:03:08.995Z,Spare Part Mage,Mage,125
126,2014-12-19 21:51:00.318,2014-12-19T21:51:00.318Z,LochMechMonster -- A GvG Handlock Deck,Warlock,126
127,2014-12-19 23:13:35.735,2014-12-19T23:13:35.735Z,K.T. Baron Hunter,Hunter,127
128,2014-12-19 23:31:03.119,2014-12-19T23:31:03.119Z,Budget Control Warrior,Warrior,128
129,2014-12-19 23:40:38.212,2014-12-19T23:40:38.212Z,GvG control,Warrior,129
130,2014-12-20 02:09:01.332,2014-12-20T02:09:01.332Z,Midrange deathrattle,Hunter,130
131,2014-12-20 15:18:12.767,2014-12-20T15:18:12.767Z,Handlock Control Test,Warlock,131
132,2014-12-21 16:17:39.555,2014-12-21T16:17:39.555Z,Ancestors is viable,Shaman,132
133,2014-12-21 16:19:26.345,2014-12-21T16:19:26.345Z,Ramp Druid test,Druid,133
134,2014-12-21 20:44:58.923,2014-12-21T20:44:58.923Z,Burn Shaman,Shaman,134
135,2014-12-22 01:31:21.671,2014-12-22T01:31:21.671Z,Crusader,Paladin,135
136,2014-12-22 01:46:24.284,2014-12-22T01:46:24.284Z,"""Ancestor's! Hey Ancestor's!""",Shaman,136
137,2014-12-22 01:58:07.790,2014-12-22T01:58:07.790Z,Treeharder,Druid,137
138,2014-12-22 02:10:14.443,2014-12-22T02:10:14.443Z,Face Hunter,Hunter,138
139,2014-12-22 02:35:27.830,2014-12-22T02:35:27.830Z,Slow Paladin,Paladin,139
140,2014-12-22 03:53:52.361,2014-12-22T03:53:52.361Z,Freeze Mage,Mage,140
141,2014-12-22 04:08:39.653,2014-12-22T04:08:39.653Z,The Blue Hermit's Midrange Ramp Druid,Druid,141
142,2014-12-22 04:42:52.411,2014-12-22T04:42:52.411Z,It's not fancy but it does have Dr. Boom. Mid-range Pally.,Paladin,142
143,2014-12-22 08:10:00.592,2014-12-22T08:10:00.592Z,DR. Handlock,Warlock,143
144,2014-12-22 08:27:22.520,2014-12-22T08:27:22.520Z,Dog's Cancer Druid,Druid,144
145,2014-12-22 10:41:12.102,2014-12-22T10:41:12.102Z,hsdogdog Cancer Druid,Druid,145
146,2014-12-22 11:06:50.065,2014-12-22T11:06:50.065Z,Legend Handlock,Warlock,146
147,2014-12-22 11:23:46.696,2014-12-22T11:23:46.696Z,Feign Death hunter,Hunter,147
148,2014-12-22 15:04:17.639,2014-12-22T15:04:17.639Z,Sneaky R-Ogre [Wailing Soul],Rogue,148
149,2014-12-22 22:38:00.136,2014-12-22T22:38:00.136Z,Cheap Aggro,Shaman,149
150,2014-12-22 22:54:49.156,2014-12-22T22:54:49.156Z,Barf,Warlock,150
151,2014-12-23 05:01:14.060,2014-12-23T05:01:14.060Z,Beast Hunter(oldy),Hunter,151
152,2014-12-23 05:11:49.029,2014-12-23T05:11:49.029Z,Murloc Spell combo,Shaman,152
153,2014-12-23 05:18:17.023,2014-12-23T05:18:17.023Z,Feigh Death/Rattle,Hunter,153
154,2014-12-23 15:25:03.294,2014-12-23T15:25:03.294Z,Stardust's Midrange mecherino mage,Mage,154
155,2014-12-23 16:20:18.319,2014-12-23T16:20:18.319Z,Giants Shaman(Hand Shaman),Shaman,155
156,2014-12-23 18:31:09.679,2014-12-23T18:31:09.679Z,There be Demons v1,Warlock,156
157,2014-12-23 19:54:56.966,2014-12-23T19:54:56.966Z,Mid late game control priest,Priest,157
158,2014-12-23 20:42:20.487,2014-12-23T20:42:20.487Z,Tempo/Secrets Paladin,Paladin,158
159,2014-12-23 22:46:41.686,2014-12-23T22:46:41.686Z,Gaara GVG- Priest,Priest,159
160,2014-12-24 03:17:49.280,2014-12-24T03:17:49.280Z,Pirates,Rogue,160
161,2014-12-24 06:38:52.345,2014-12-24T06:38:52.345Z,DR Priest,Priest,161
162,2014-12-24 16:17:05.861,2014-12-24T16:17:05.861Z,Low budget hunter,Hunter,162
163,2014-12-24 17:02:39.294,2014-12-24T17:02:39.294Z,Dragon Druid,Druid,163
164,2014-12-24 17:14:31.337,2014-12-24T17:14:31.337Z,Tides Aggro,Mage,164
165,2014-12-24 17:30:46.787,2014-12-24T17:30:46.787Z,Ramp Silence Druid,Druid,165
166,2014-12-24 23:55:28.429,2014-12-24T23:55:28.429Z,zoolock freeRanks,Warlock,166
167,2014-12-25 03:37:04.240,2014-12-25T03:37:04.240Z,Ebbene,Warlock,167
168,2014-12-25 11:21:43.729,2014-12-25T11:21:43.729Z,RagLock,Warlock,168
169,2014-12-25 14:06:25.448,2014-12-25T14:06:25.448Z,Shaman k,Shaman,169
170,2014-12-25 21:17:07.708,2014-12-25T21:17:07.708Z,gulegend,Warlock,170
171,2014-12-26 06:19:06.109,2014-12-26T06:19:06.109Z,Deathwizardx's Control Paladin,Paladin,171
172,2014-12-26 14:12:43.956,2014-12-26T14:12:43.956Z,Obito San's Death Rattle Priest,Priest,172
173,2014-12-26 21:31:11.280,2014-12-26T21:31:11.280Z,healbot Edition,Warlock,173
174,2014-12-26 23:42:06.724,2014-12-26T23:42:06.724Z,just a solid priest deck,Priest,174
175,2014-12-27 01:20:30.600,2014-12-27T01:20:30.600Z,Nocticimus Anti Aggro Priest,Priest,175
176,2014-12-27 15:58:20.453,2014-12-27T15:58:20.453Z,Ramp Druid,Druid,176
177,2014-12-28 00:19:52.829,2014-12-28T00:19:52.829Z,True Demon Lock,Warlock,177
178,2014-12-28 01:09:16.489,2014-12-28T01:09:16.489Z,Meta control,Druid,178
179,2014-12-28 01:49:04.459,2014-12-28T01:49:04.459Z,blah,Paladin,179
180,2014-12-28 14:44:29.364,2014-12-28T14:44:29.364Z,Tot Mage,Mage,180
181,2014-12-28 20:07:09.473,2014-12-28T20:07:09.473Z,"""Poor man's"" Anti-Aggro Warrior",Warrior,181
182,2014-12-28 22:01:40.979,2014-12-28T22:01:40.979Z,Suicide Warlock,Warlock,182
183,2014-12-29 02:56:19.250,2014-12-29T02:56:19.250Z,Ddawwg's Mech Mircales,Rogue,183
184,2014-12-29 15:06:36.315,2014-12-29T15:06:36.315Z,Aggro Shaman,Shaman,184
185,2014-12-29 18:45:12.802,2014-12-29T18:45:12.802Z,NecroShaman,Shaman,185
186,2014-12-30 06:03:11.439,2014-12-30T06:03:11.439Z,Bad Beasts,Druid,186
187,2014-12-30 16:16:20.349,2014-12-30T16:16:20.349Z,Noticimus Legendary Rank 1 EU Paladin Deck,Paladin,187
188,2014-12-30 21:40:46.556,2014-12-30T21:40:46.556Z,Control Rogue,Rogue,188
189,2014-12-31 02:08:40.982,2014-12-31T02:08:40.982Z,Amazingz,Mage,189
190,2014-12-31 04:55:28.379,2014-12-31T04:55:28.379Z,mnjn,Paladin,190
191,2014-12-31 09:43:33.449,2014-12-31T09:43:33.449Z,arena1,Mage,191
192,2014-12-31 11:17:35.558,2014-12-31T11:17:35.558Z,Iron Forest,Druid,192
193,2014-12-31 18:51:59.702,2014-12-31T18:51:59.702Z,Iron Forest #2,Druid,193
194,2015-01-01 03:19:57.037,2015-01-01T03:19:57.037Z,Long Game Pallidan,Paladin,194
195,2015-01-01 04:13:36.840,2015-01-01T04:13:36.840Z,Necromancy,Shaman,195
196,2015-01-01 10:51:16.817,2015-01-01T10:51:16.817Z,Tempo Priest,Priest,196
197,2015-01-01 11:32:25.726,2015-01-01T11:32:25.726Z,xylon's Cheap and efficient FaceHunter !,Hunter,197
198,2015-01-01 22:04:58.080,2015-01-01T22:04:58.080Z,Gaara Ramp GVG,Druid,198
199,2015-01-01 23:46:54.505,2015-01-01T23:46:54.505Z,wait..wait..BOOM,Mage,199
200,2015-01-02 02:16:08.980,2015-01-02T02:16:08.980Z,Weapon Rogue 2,Rogue,200
201,2015-01-02 03:43:37.491,2015-01-02T03:43:37.491Z,ANTI META MECH MAGE,Mage,201
202,2015-01-02 04:28:51.323,2015-01-02T04:28:51.323Z,Top Strifecro Mage,Mage,202
203,2015-01-02 05:31:39.851,2015-01-02T05:31:39.851Z,Beatcomet's Shaman,Shaman,203
204,2015-01-02 08:54:57.885,2015-01-02T08:54:57.885Z,Control/Mill Druid,Druid,204
205,2015-01-02 16:12:38.218,2015-01-02T16:12:38.218Z,handlock gaara,Warlock,205
206,2015-01-02 20:58:27.106,2015-01-02T20:58:27.106Z,Kandex's Midrange Paladin,Paladin,206
207,2015-01-02 21:32:54.692,2015-01-02T21:32:54.692Z,Mid-ranged beast hunter,Hunter,207
208,2015-01-03 04:09:15.970,2015-01-03T04:09:15.970Z,Burst WindFury MidRange Shaman,Shaman,208
209,2015-01-03 04:50:21.341,2015-01-03T04:50:21.341Z,Poor Man's Zoolock,Warlock,209
210,2015-01-03 09:27:25.756,2015-01-03T09:27:25.756Z,Cantseered's Watcher Zoo,Warlock,210
211,2015-01-03 15:20:48.913,2015-01-03T15:20:48.913Z,giants ilu mage,Mage,211
212,2015-01-03 18:35:47.146,2015-01-03T18:35:47.146Z,Ramping that up,Druid,212
213,2015-01-03 18:44:00.220,2015-01-03T18:44:00.220Z,Midrange Paladin,Paladin,213
214,2015-01-04 06:23:27.373,2015-01-04T06:23:27.373Z,DemonlockK,Warlock,214
215,2015-01-04 09:04:38.030,2015-01-04T09:04:38.030Z,CrazySlayer's Cheap Control Warrior Deck,Warrior,215
216,2015-01-04 09:12:56.011,2015-01-04T09:12:56.011Z,New Style Tokens,Druid,216
217,2015-01-04 10:13:44.050,2015-01-04T10:13:44.050Z,fuck you reynad,Paladin,217
218,2015-01-04 15:06:27.054,2015-01-04T15:06:27.054Z,Spare Parts Handlock GVG Meta,Warlock,218
219,2015-01-04 15:34:52.580,2015-01-04T15:34:52.580Z,"""DEATHRATTLE""",Priest,219
220,2015-01-04 17:02:49.058,2015-01-04T17:02:49.058Z,Priest Mech,Priest,220
221,2015-01-04 19:37:00.705,2015-01-04T19:37:00.705Z,"Wait, This isn't Zoo!",Warlock,221
222,2015-01-04 19:59:40.883,2015-01-04T19:59:40.883Z,Deck Reckful Played,Rogue,222
223,2015-01-04 21:34:18.370,2015-01-04T21:34:18.370Z,Demon Lock,Warlock,223
224,2015-01-05 01:13:33.414,2015-01-05T01:13:33.414Z,Kitkatz Echo Mage,Mage,224
225,2015-01-05 01:29:52.720,2015-01-05T01:29:52.720Z,hobgoblin power,Druid,225
226,2015-01-05 01:49:15.544,2015-01-05T01:49:15.544Z,Mill Rogue?,Rogue,226
227,2015-01-05 05:24:56.321,2015-01-05T05:24:56.321Z,Umbron's Taunt Priest,Priest,227
228,2015-01-05 06:18:54.395,2015-01-05T06:18:54.395Z,Mechanized Cancer,Hunter,228
229,2015-01-05 06:24:43.945,2015-01-05T06:24:43.945Z,Average MechaMage,Mage,229
230,2015-01-05 06:30:57.273,2015-01-05T06:30:57.273Z,gazlowe shaman,Shaman,230
231,2015-01-05 16:06:30.274,2015-01-05T16:06:30.274Z,Reynad dick,Paladin,231
232,2015-01-05 19:05:51.123,2015-01-05T19:05:51.123Z,Fatigue,Druid,232
233,2015-01-06 00:48:10.043,2015-01-06T00:48:10.043Z,Gooby's Control Pally,Paladin,233
234,2015-01-06 01:20:33.369,2015-01-06T01:20:33.369Z,DemonlockK v2,Warlock,234
235,2015-01-06 01:54:20.124,2015-01-06T01:54:20.124Z,gaara warrior,Warrior,235
236,2015-01-06 02:02:34.745,2015-01-06T02:02:34.745Z,Mech mage zzzzz,Mage,236
237,2015-01-06 02:06:14.417,2015-01-06T02:06:14.417Z,Secrets mage zzzzz,Mage,237
238,2015-01-06 02:09:37.766,2015-01-06T02:09:37.766Z,Degenerate,Hunter,238
239,2015-01-06 02:13:45.491,2015-01-06T02:13:45.491Z,Fatigue Warrior,Warrior,239
240,2015-01-06 02:22:16.819,2015-01-06T02:22:16.819Z,Degenerate Druid,Druid,240
241,2015-01-06 02:27:06.631,2015-01-06T02:27:06.631Z,Shaman zzzzz,Shaman,241
242,2015-01-06 02:29:54.226,2015-01-06T02:29:54.226Z,Zoo zzzzz,Warlock,242
243,2015-01-06 03:33:49.698,2015-01-06T03:33:49.698Z,Xenogenesis,Rogue,243
244,2015-01-06 04:50:59.312,2015-01-06T04:50:59.312Z,DeathrattleLock,Warlock,244
245,2015-01-06 05:13:09.979,2015-01-06T05:13:09.979Z,GVG Durid Deck,Druid,245
246,2015-01-06 05:43:03.979,2015-01-06T05:43:03.979Z,Deathrattle Demon Valuelock,Warlock,246
247,2015-01-06 06:13:16.854,2015-01-06T06:13:16.854Z,Billy goat,Priest,247
248,2015-01-06 11:03:05.727,2015-01-06T11:03:05.727Z,October Rust (,Druid,248
249,2015-01-06 12:49:31.892,2015-01-06T12:49:31.892Z,Slow roll shaman,Shaman,249
250,2015-01-06 16:24:37.948,2015-01-06T16:24:37.948Z,To Battle v2.0,Paladin,250
251,2015-01-06 16:27:21.967,2015-01-06T16:27:21.967Z,tempo,Mage,251
252,2015-01-06 17:19:59.134,2015-01-06T17:19:59.134Z,"Miracle, Mécha, Poison",Rogue,252
253,2015-01-06 19:54:03.473,2015-01-06T19:54:03.473Z,Mryagut Miracle Rogue,Rogue,253
254,2015-01-06 20:36:47.001,2015-01-06T20:36:47.001Z,Control Mage by Renflex,Mage,254
255,2015-01-06 20:54:28.400,2015-01-06T20:54:28.400Z,Anti-Aggro Pally,Paladin,255
256,2015-01-06 23:55:57.271,2015-01-06T23:55:57.271Z,Skytop's rogue,Rogue,256
257,2015-01-07 00:10:57.472,2015-01-07T00:10:57.472Z,Fish&Chicken,Rogue,257
258,2015-01-07 00:23:00.726,2015-01-07T00:23:00.726Z,Mill Taunt Warrior,Warrior,258
259,2015-01-07 00:42:49.242,2015-01-07T00:42:49.242Z,Call Tundra Rhino to charge!,Hunter,259
260,2015-01-07 00:52:38.228,2015-01-07T00:52:38.228Z,New Age Cancer,Hunter,260
261,2015-01-07 01:09:41.261,2015-01-07T01:09:41.261Z,second hobgoblin idea,Shaman,261
262,2015-01-07 03:10:35.689,2015-01-07T03:10:35.689Z,Control,Mage,262
263,2015-01-07 03:15:10.997,2015-01-07T03:15:10.997Z,aggro,Mage,263
264,2015-01-07 05:57:47.925,2015-01-07T05:57:47.925Z,control warior,Warrior,264
265,2015-01-07 06:20:40.054,2015-01-07T06:20:40.054Z,Swag Abuser's Feign Death,Hunter,265
266,2015-01-07 06:22:16.802,2015-01-07T06:22:16.802Z,cuz shaman,Shaman,266
267,2015-01-07 06:24:55.643,2015-01-07T06:24:55.643Z,Counter Removal,Druid,267
268,2015-01-07 06:35:51.604,2015-01-07T06:35:51.604Z,Fun of Knives,Rogue,268
269,2015-01-07 06:42:37.746,2015-01-07T06:42:37.746Z,FearLock,Warlock,269
270,2015-01-07 07:39:33.847,2015-01-07T07:39:33.847Z,For Reynad,Druid,270
271,2015-01-07 07:48:48.271,2015-01-07T07:48:48.271Z,not the best,Priest,271
272,2015-01-07 07:53:40.224,2015-01-07T07:53:40.224Z,Tirion It Up,Paladin,272
