createdDate,name,playerClass
2015-01-02 02:16:08.980,Weapon Rogue 2,Rogue
2015-01-02 03:43:37.491,ANTI META MECH MAGE,Mage
2015-01-02 04:28:51.323,Top Strifecro Mage,Mage
2015-01-02 05:31:39.851,Beatcomet's Shaman,Shaman
2015-01-02 08:54:57.885,Control/Mill Druid,Druid
2015-01-02 16:12:38.218,handlock gaara,Warlock
2015-01-02 20:58:27.106,Kandex's Midrange Paladin,Paladin
2015-01-02 21:32:54.692,Mid-ranged beast hunter,Hunter
2015-01-03 04:09:15.970,Burst WindFury MidRange Shaman,Shaman
2015-01-03 04:50:21.341,Poor Man's Zoolock,Warlock
2015-01-03 09:27:25.756,Cantseered's Watcher Zoo,Warlock
2015-01-03 15:20:48.913,giants ilu mage,Mage
2015-01-03 18:35:47.146,Ramping that up,Druid
2015-01-03 18:44:00.220,Midrange Paladin,Paladin
2015-01-04 06:23:27.373,DemonlockK,Warlock
2015-01-04 09:04:38.030,CrazySlayer's Cheap Control Warrior Deck,Warrior
2015-01-04 09:12:56.011,New Style Tokens,Druid
2015-01-04 10:13:44.050,fuck you reynad,Paladin
2015-01-04 15:06:27.054,Spare Parts Handlock GVG Meta,Warlock
2015-01-04 15:34:52.580,"""DEATHRATTLE""",Priest
2015-01-04 17:02:49.058,Priest Mech,Priest
2015-01-04 19:37:00.705,"Wait, This isn't Zoo!",Warlock
2015-01-04 19:59:40.883,Deck Reckful Played,Rogue
2015-01-04 21:34:18.370,Demon Lock,Warlock
2015-01-05 01:13:33.414,Kitkatz Echo Mage,Mage
2015-01-05 01:29:52.720,hobgoblin power,Druid
2015-01-05 01:49:15.544,Mill Rogue?,Rogue
2015-01-05 05:24:56.321,Umbron's Taunt Priest,Priest
2015-01-05 06:18:54.395,Mechanized Cancer,Hunter
2015-01-05 06:24:43.945,Average MechaMage,Mage
2015-01-05 06:30:57.273,gazlowe shaman,Shaman
2015-01-05 16:06:30.274,Reynad dick,Paladin
2015-01-05 19:05:51.123,Fatigue,Druid
2015-01-06 00:48:10.043,Gooby's Control Pally,Paladin
2015-01-06 01:20:33.369,DemonlockK v2,Warlock
2015-01-06 01:54:20.124,gaara warrior,Warrior
2015-01-06 02:02:34.745,Mech mage zzzzz,Mage
2015-01-06 02:06:14.417,Secrets mage zzzzz,Mage
2015-01-06 02:09:37.766,Degenerate,Hunter
2015-01-06 02:13:45.491,Fatigue Warrior,Warrior
2015-01-06 02:22:16.819,Degenerate Druid,Druid
2015-01-06 02:27:06.631,Shaman zzzzz,Shaman
2015-01-06 02:29:54.226,Zoo zzzzz,Warlock
2015-01-06 03:33:49.698,Xenogenesis,Rogue
2015-01-06 04:50:59.312,DeathrattleLock,Warlock
2015-01-06 05:13:09.979,GVG Durid Deck,Druid
2015-01-06 05:43:03.979,Deathrattle Demon Valuelock,Warlock
2015-01-06 06:13:16.854,Billy goat,Priest
2015-01-06 11:03:05.727,October Rust (,Druid
2015-01-06 12:49:31.892,Slow roll shaman,Shaman
2015-01-06 16:24:37.948,To Battle v2.0,Paladin
2015-01-06 16:27:21.967,tempo,Mage
2015-01-06 17:19:59.134,"Miracle, Mécha, Poison",Rogue
2015-01-06 19:54:03.473,Mryagut Miracle Rogue,Rogue
2015-01-06 20:36:47.001,Control Mage by Renflex,Mage
2015-01-06 20:54:28.400,Anti-Aggro Pally,Paladin
